Fundos;Setor;Liquidez Diária (R$);P/VP;Dividend Yield;Variação de Preço;Patrimônio Líquido;Num. Cotistas
AAGR11;INDEFINIDO;15.525,75;N/A;1,59 %;4,15 %;N/A;0
AAZQ11;INDEFINIDO;713.135,95;0,97;1,22 %;-1,37 %;207.913.726,16;30.985
ABCP11;SHOPPINGS;64.714,70;0,73;0,78 %;4,02 %;521.918.936,68;14.013
AFHI11;PAPÉIS;813.316,20;1,01;1,05 %;0,90 %;455.375.391,67;37.891
AGRX11;INDEFINIDO;259.774,10;0,86;1,44 %;2,51 %;185.308.539,73;19.281
AIEC11;LAJES CORPORATIVAS;676.159,05;0,77;0,63 %;1,92 %;368.872.369,34;13.081
AJFI11;SHOPPINGS;425.333,55;0,74;0,61 %;1,61 %;352.392.703,05;11.189
ALMI11;LAJES CORPORATIVAS;13.278,05;0,31;0,72 %;6,22 %;229.298.385,03;1.875
ALZC11;PAPÉIS;270.710,30;0,87;1,38 %;-0,64 %;181.472.797,04;10.335
ALZR11;MISTO;2.618.815,95;1,01;0,78 %;-0,09 %;1.299.853.108,46;182.932
APTO11;IMÓVEIS RESIDENCIAIS;49.531,55;0,86;0,93 %;1,77 %;45.116.014,44;7.938
APXM11;SHOPPINGS;821.921,68;0,62;0,56 %;-12,52 %;359.218.008,35;660
ARCT11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;1.053.903,45;0,87;0,00 %;0,00 %;371.534.654,03;43.228
AROA11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;4.756,65;1,17;0,68 %;1,90 %;159.780.518,57;5.286
ARRI11;PAPÉIS;313.806,75;0,80;1,35 %;-2,77 %;173.769.255,21;23.816
ARTE11;MISTO;N/A;N/A;0,00 %;0,00 %;88.855.137,68;749
ARXD11;PAPÉIS;61.557,35;0,86;1,14 %;2,19 %;80.485.317,22;1.973
ASMT11;LAJES CORPORATIVAS;12.484,00;0,41;1,12 %;-4,46 %;169.085.584,25;1
ASRF11;INDEFINIDO;32.921,92;1,03;0,00 %;0,00 %;42.625.448,46;94
ATSA11;SHOPPINGS;363,44;0,79;0,26 %;0,00 %;129.236.210,78;293
AURB11;IMÓVEIS COMERCIAIS - OUTROS;333.328,50;1,00;0,00 %;0,00 %;88.009.270,91;20
AZIN11;FIP-IE;666.579,20;N/A;1,38 %;-0,59 %;N/A;0
AZPE11;PAPÉIS;N/A;N/A;0,00 %;0,00 %;125.497.931,47;1
AZPL11;SERVIÇOS FINANCEIROS DIVERSOS;1.339.426,85;0,90;0,97 %;-0,39 %;360.072.051,42;5.610
BBFI11B;LAJES CORPORATIVAS;182.918,19;0,41;47,51 %;4,22 %;111.645.834,19;6.989
BBFO11;FUNDO DE FUNDOS;630.833,20;0,87;1,29 %;4,71 %;311.613.842,15;7.187
BBGO11;INDEFINIDO;543.025,40;0,83;1,20 %;15,35 %;378.538.052,20;12.238
BBIG11;SERVIÇOS FINANCEIROS DIVERSOS;1.549.771,50;0,77;1,12 %;4,81 %;967.278.322,55;36.346
BBIM11;PAPÉIS;N/A;N/A;0,00 %;0,00 %;667,50;20
BBRC11;AGÊNCIAS DE BANCOS;126.048,25;0,98;1,03 %;-0,95 %;167.125.202,99;8.766
BCIA11;FUNDO DE FUNDOS;652.115,80;0,92;0,89 %;8,29 %;390.115.306,41;20.383
BCRI11;PAPÉIS;661.048,60;0,80;1,09 %;0,00 %;532.350.894,57;42.020
BDIF11;INDEFINIDO;2.859.886,75;N/A;1,11 %;2,84 %;N/A;0
BDIV11;INDEFINIDO;424.465,45;N/A;3,86 %;3,47 %;N/A;0
BETW11;INDEFINIDO;N/A;N/A;0,00 %;0,00 %;275.601.828,83;2
BGRB11;LAJES CORPORATIVAS;5.436,00;0,88;0,68 %;0,00 %;230.003.135,56;374
BICE11;FUNDO DE FUNDOS;444,00;0,80;0,00 %;0,00 %;148.177.316,61;119
BICR11;PAPÉIS;72,00;0,86;1,02 %;-10,54 %;20.805.910,51;641
BIDB11;INDEFINIDO;389.143,30;N/A;1,24 %;1,17 %;N/A;0
BIME11;INDEFINIDO;43.205,15;0,77;1,22 %;3,97 %;49.511.624,30;8.088
BINC11;PAPÉIS;683.929,70;N/A;1,37 %;3,33 %;N/A;0
BINR11;INDEFINIDO;N/A;1,51;0,00 %;0,00 %;131.752.536,66;103
BIPD11;INDEFINIDO;430.358,00;1,03;0,00 %;0,00 %;106.291.014,29;111
BLCA11;INDEFINIDO;3.075,47;0,74;0,54 %;-3,08 %;206.516.850,86;456
BLMC11;PAPÉIS;150.671,33;1,34;0,00 %;0,00 %;118.155.565,38;8.102
BLMG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;247.454,85;0,71;1,14 %;0,84 %;229.152.779,61;13.295
BLMO11;LAJES CORPORATIVAS;1.895,64;0,89;0,45 %;0,00 %;98.258.504,70;288
BLMR11;FUNDO DE FUNDOS;1.157.702,33;0,11;0,00 %;0,00 %;118.155.565,38;8.102
BLOG11;MISTO;191,35;0,75;0,20 %;-6,82 %;346.922.775,80;105
BLUR11;PAPÉIS;228,00;1,00;0,00 %;0,00 %;6.851.720,42;1
BMLC11;LAJES CORPORATIVAS;11.888,58;0,91;0,69 %;0,00 %;113.081.780,08;1.229
BNFS11;AGÊNCIAS DE BANCOS;103.675,15;1,00;0,97 %;-2,67 %;48.728.898,70;5.506
BODB11;INDEFINIDO;1.458.116,75;N/A;1,10 %;2,52 %;N/A;0
BPFF11;FUNDO DE FUNDOS;512.062,00;0,88;0,00 %;0,00 %;279.190.787,97;20.101
BPLC11;MISTO;N/A;N/A;0,00 %;0,00 %;322.983.368,68;124
