Fundos;Setor;Liquidez Diária (R$);P/VP;Dividend Yield;Variação de Preço;Patrimônio Líquido;Num. Cotistas;score_total
MCHY11;PAPÉIS;4789731.61;0.72;1.39;-12.22;1060212799.64;93666;336.5
HCTR11;PAPÉIS;1196756.68;0.2;1.26;-1.61;2336448804.37;130689;356.5
DEVA11;PAPÉIS;1161121.32;0.25;1.18;-5.08;1377513358.51;80230;404.5
TGAR11;FUNDO DE DESENVOLVIMENTO;13303698.68;0.71;0.91;-15.86;2664453393.19;148957;419.0
IRIM11;INDEFINIDO;6462895.05;0.76;1.02;-1.62;2963771750.16;226197;469.0
GARE11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;13708689.74;0.9;0.94;-2.98;2753589125.34;456459;581.5
RECT11;LAJES CORPORATIVAS;860342.42;0.43;1.16;-0.44;766574199.64;49321;588.5
TRXF11;IMÓVEIS COMERCIAIS - OUTROS;23078688.58;0.92;0.97;-2.63;6315290426.07;217198;590.5
VGHF11;MISTO;3171120.63;0.83;0.98;-0.83;1427805141.77;385437;623.0
XPIN11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;1030672.21;0.69;1.06;-1.96;735832557.35;40767;644.0
KNCR11;PAPÉIS;20617842.95;1.04;1.12;-0.52;10381050207.72;497709;667.0
PSEC11;FUNDO DE FUNDOS;3238612.84;0.83;1.01;-0.28;1400215464.61;82421;670.0
RBRP11;LAJES CORPORATIVAS;6816469.89;0.66;0.73;-0.22;999353142.76;57080;688.5
RBRR11;PAPÉIS;6053592.05;0.93;0.94;-2.41;1512540596.2;136021;700.0
VCJR11;PAPÉIS;2382670.68;0.86;1.09;-0.76;1392830610.96;27120;705.5
MCRE11;PAPÉIS;3501471.0;0.93;1.14;-0.82;1161733177.52;88528;706.0
SNAG11;PAPÉIS;3015607.42;1.04;1.82;-2.57;626251460.36;120451;707.0
VRTA11;PAPÉIS;1501261.58;0.94;1.06;-3.15;1321245056.17;106622;721.5
RBRY11;PAPÉIS;6805398.68;1.03;1.18;-1.65;1275757075.36;72016;732.0
RZAG11;INDEFINIDO;2066091.37;0.95;1.27;-0.73;663114339.24;87526;735.0
RBVA11;VAREJO;2339151.84;0.92;0.9;-3.66;1674994889.34;91071;747.0
XPLG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;5775733.21;0.97;0.79;-1.73;4230330397.37;335719;755.5
